Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Risk Level,Risk Score,Primary Driver,Workout Blueprint,Coach's Notes,Athlete Diary,Decision Trace (Full)
2026-03-16,The Grinder,7,5,185.00,185.00,19.5,30.9,1.00,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,low,0,"No major risk drivers detected.","Hang Clean (4x6 @ RPE 8) | Clean and Press (4x6 @ RPE 8) | Dumbbell Snatch (4x6 @ RPE 8) | Depth Jump (4x6 @ RPE 8) | Muscle-up (4x6 @ RPE 8) | Hang Power Snatch (4x6 @ RPE 8) | Power Clean (4x6 @ RPE 8) | Trap Bar Jump (4x6 @ RPE 8)","Steady state progression. Maintaining develop volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-17,The Grinder,5,5,185.00,185.02,39.0,61.8,1.31,"Develop: push the block forward",develop,N/A,8,YES,2563,NO,aerobic,low,10,"Readiness is below peak.","Medicine Ball Slams (3x8 @ RPE 7) | Med Ball Chest Pass (3x8 @ RPE 7) | Kettlebell Swing (3x8 @ RPE 7) | Jump Rope (3x1 @ RPE 7) | Overhead Medicine Ball Throw (3x8 @ RPE 7) | Lateral Bound (3x8 @ RPE 7)","Steady state progression. Maintaining develop volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-18,The Grinder,5,5,185.02,185.02,58.5,92.5,1.62,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,low,30,"Acute load is elevated and needs monitoring.","Wrist Circles (2x12 @ RPE 4) | Child's Pose (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4)","Steady state progression. Maintaining recover volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-19,The Grinder,3,4,185.02,185.13,80.5,94.0,1.93,"Recover: push the block forward",recover,N/A,8,YES,2902,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Band Pull-Aparts (2x12 @ RPE 4) | Thoracic Spine Rotation (2x12 @ RPE 4) | Band Work — Shoulders (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-20,The Grinder,2,3,185.13,185.13,92.5,95.5,1.94,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Shoulder Dislocates (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4) | Dead Hang (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-21,The Grinder,1,2,185.13,185.18,95.0,97.0,1.96,"Recover: push the block forward",recover,N/A,8,YES,2663,NO,aerobic,moderate,40,"Acute load is above the safe training band.","90/90 Hip Stretch (2x12 @ RPE 4) | Couch Stretch (2x12 @ RPE 4) | Light Bike Spin (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-22,The Grinder,1,2,185.18,185.18,95.0,97.0,1.97,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Cat-Cow Stretch (2x12 @ RPE 4) | Dead Bug (2x12 @ RPE 4) | Walking (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-23,The Grinder,2,2,185.18,185.18,95.0,97.0,1.97,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Pigeon Stretch (2x12 @ RPE 4) | Yoga Flow (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-24,The Grinder,2,4,185.18,185.18,90.0,94.0,1.97,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Wrist Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | World's Greatest Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-25,The Grinder,1,4,185.18,185.18,90.0,94.0,1.94,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Ankle Circles (2x12 @ RPE 4) | Lacrosse Ball Trigger Points (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
