Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Cut Phase,Water Target (oz),Sodium Target (mg),Fiber State,Sessions (Full),Risk Level,Risk Score,Primary Driver,Workout Blueprint,Coach's Notes,Athlete Diary,Decision Trace (Full)
2026-03-16,The Grinder,7,5,185.00,184.97,11.6,21.6,1.00,"Develop: push the block forward",develop,N/A,7,YES,2686,NO,aerobic,none,0,Normal,"Normal","upper_push (7) | Technical Bag Work (6)",low,0,"No major risk drivers detected.","Clean and Press (4x6 @ RPE 8) | Muscle-up (4x6 @ RPE 8) | Power Clean (4x6 @ RPE 8) | Hang Clean (4x6 @ RPE 8) | Depth Jump (4x6 @ RPE 8) | Hang Power Snatch (4x6 @ RPE 8) | Dumbbell Snatch (4x6 @ RPE 8) | Trap Bar Jump (4x6 @ RPE 8)","Steady state progression. Maintaining develop volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-17,The Grinder,5,5,184.97,185.04,22.4,42.8,1.22,"Develop: push the block forward",develop,N/A,7,YES,2963,NO,aerobic,none,0,Normal,"Normal","lower (7) | Pad Work & Drills (7)",low,0,"No major risk drivers detected.","Medicine Ball Slams (4x6 @ RPE 8) | Plyometric Push-ups (4x6 @ RPE 8) | Landmine Rotation (4x6 @ RPE 8) | Lateral Bound (4x6 @ RPE 8) | Overhead Medicine Ball Throw (4x6 @ RPE 8) | Kettlebell Swing (4x6 @ RPE 8) | Medicine Ball Rotational Throw (4x6 @ RPE 8) | Med Ball Chest Pass (4x6 @ RPE 8)","Steady state progression. Maintaining develop volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-18,The Grinder,4,4,185.04,185.13,35.7,65.5,1.43,"Spar Support: push the block forward",spar_support,N/A,7,YES,3080,NO,aerobic,none,0,Normal,"Normal","sport_specific (7)",low,10,"Readiness is below peak.","Neck Harness (3x1 @ RPE 7) | Jump Rope (3x1 @ RPE 7) | Sled Pull (3x1 @ RPE 7) | Speed Bag (3x1 @ RPE 7) | Neck Bridge (3x1 @ RPE 7) | Footwork Ladder Drills (3x1 @ RPE 7)","Steady state progression. Maintaining spar_support volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-19,The Grinder,5,5,185.13,185.12,48.8,88.1,1.66,"Spar Support: push the block forward",spar_support,N/A,7,YES,2939,NO,aerobic,none,0,Normal,"Normal","recovery (7) | Hard Sparring (9)",low,30,"Acute load is elevated and needs monitoring.","Shoulder Dislocates (2x12 @ RPE 4) | Dead Hang (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Steady state progression. Maintaining spar_support volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-20,The Grinder,4,5,185.12,184.95,58.5,93.2,1.88,"Spar Support: push the block forward",spar_support,5,6.5,YES,2141,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | Technical Sparring (6)",moderate,40,"Acute load is above the safe training band.","Wrist Circles (2x12 @ RPE 4) | Thoracic Spine Rotation (2x12 @ RPE 4) | Child's Pose (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-21,The Grinder,3,6,184.95,185.03,67.0,92.4,1.93,"Recover: push the block forward",recover,5,6.5,YES,3004,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Couch Stretch (2x12 @ RPE 4) | Cat-Cow Stretch (2x12 @ RPE 4) | Pigeon Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-22,The Grinder,3,4,185.03,184.95,78.3,94.1,1.92,"Recover: push the block forward",recover,5,6.5,YES,2638,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Band Work — Shoulders (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-23,The Grinder,1,5,184.95,184.91,86.5,92.2,1.94,"Recover: push the block forward",recover,5,6.5,YES,2638,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | Technical Bag Work (6)",moderate,40,"Acute load is above the safe training band.","Foam Rolling — Full Body (2x12 @ RPE 4) | Yoga Flow (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-24,The Grinder,1,3,184.91,184.80,91.6,95.0,1.92,"Recover: push the block forward",recover,5,6.5,YES,2596,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | Pad Work & Drills (6.350382229624222)",moderate,40,"Acute load is above the safe training band.","Light Bike Spin (2x12 @ RPE 4) | Dead Bug (2x12 @ RPE 4) | 90/90 Hip Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-25,The Grinder,1,3,184.80,184.70,93.1,95.8,1.95,"Recover: push the block forward",recover,5,6.5,YES,2522,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","World's Greatest Stretch (2x12 @ RPE 4) | Lacrosse Ball Trigger Points (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
