Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Risk Level,Risk Score,Primary Driver,Workout Blueprint,Coach's Notes,Athlete Diary,Decision Trace (Full)
2026-03-16,The Grinder,7,6,185.00,185.05,8.1,19.6,1.00,"Develop: push the block forward",develop,N/A,7,YES,2684,NO,aerobic,low,0,"No major risk drivers detected.","Power Clean (4x6 @ RPE 8) | Hang Clean (4x6 @ RPE 8) | Depth Jump (4x6 @ RPE 8) | Muscle-up (4x6 @ RPE 8) | Trap Bar Jump (4x6 @ RPE 8) | Clean and Press (4x6 @ RPE 8) | Dumbbell Snatch (4x6 @ RPE 8) | Hang Power Snatch (4x6 @ RPE 8)","Steady state progression. Maintaining develop volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-17,The Grinder,6,5,185.05,185.27,19.2,40.9,1.20,"Develop: push the block forward",develop,N/A,7,YES,3142,NO,aerobic,low,0,"No major risk drivers detected.","Medicine Ball Slams (4x6 @ RPE 8) | Kettlebell Swing (4x6 @ RPE 8) | Landmine Rotation (4x6 @ RPE 8) | Plyometric Push-ups (4x6 @ RPE 8) | Medicine Ball Rotational Throw (4x6 @ RPE 8) | Med Ball Chest Pass (4x6 @ RPE 8) | Lateral Bound (4x6 @ RPE 8) | Overhead Medicine Ball Throw (4x6 @ RPE 8)","Steady state progression. Maintaining develop volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-18,The Grinder,5,5,185.27,185.44,31.7,63.1,1.41,"Spar Support: push the block forward",spar_support,N/A,7,YES,3000,YES,aerobic,low,10,"Readiness is below peak.","Speed Bag (3x1 @ RPE 7) | Neck Harness (3x1 @ RPE 7) | Battle Ropes — Alternating (3x1 @ RPE 7) | Footwork Ladder Drills (3x1 @ RPE 7) | Sled Pull (3x1 @ RPE 7) | Jump Rope (3x1 @ RPE 7)","Steady state progression. Maintaining spar_support volume to build consistency. | Note: Large caloric surplus detected today. Engine will monitor weight trend for metabolic correction.","Just another day at the office. Grinding through the plan. | Had a bit of a binge today. Feeling guilty but the food was worth it.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-19,The Grinder,4,5,185.44,185.48,46.0,86.4,1.63,"Recover: push the block forward",recover,N/A,7,YES,2706,NO,aerobic,low,30,"Acute load is elevated and needs monitoring.","Thoracic Spine Rotation (2x12 @ RPE 4) | Cat-Cow Stretch (2x12 @ RPE 4) | Child's Pose (2x12 @ RPE 4)","Steady state progression. Maintaining recover volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-20,The Grinder,3,4,185.48,185.48,56.3,93.5,1.86,"Recover: push the block forward",recover,5,6.5,YES,2455,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Wrist Circles (2x12 @ RPE 4) | Light Bike Spin (2x12 @ RPE 4) | Couch Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-21,The Grinder,4,6,185.48,185.59,61.9,90.7,1.94,"Recover: push the block forward",recover,5,6.5,YES,2730,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Shoulder Dislocates (2x12 @ RPE 4) | Band Work — Shoulders (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-22,The Grinder,3,5,185.59,185.60,71.3,93.0,1.91,"Recover: push the block forward",recover,5,6.5,YES,2534,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Pigeon Stretch (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4) | 90/90 Hip Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-23,The Grinder,3,4,185.60,185.65,83.8,94.8,1.93,"Recover: push the block forward",recover,5,6.5,YES,2502,NO,aerobic,moderate,40,"Acute load is above the safe training band.","World's Greatest Stretch (2x12 @ RPE 4) | Walking (2x12 @ RPE 4) | Yoga Flow (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-24,The Grinder,1,3,185.65,185.70,92.7,95.6,1.95,"Recover: push the block forward",recover,5,6.5,YES,2659,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Ankle Circles (2x12 @ RPE 4) | Dead Hang (2x12 @ RPE 4) | Dead Bug (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-25,The Grinder,2,3,185.70,185.83,91.9,95.2,1.96,"Recover: push the block forward",recover,5,6.5,YES,3000,YES,aerobic,moderate,40,"Acute load is above the safe training band.","Lacrosse Ball Trigger Points (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role. | Note: Large caloric surplus detected today. Engine will monitor weight trend for metabolic correction.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it. | Had a bit of a binge today. Feeling guilty but the food was worth it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
