Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Cut Phase,Water Target (oz),Sodium Target (mg),Fiber State,Sessions (Full),Risk Level,Risk Score,Primary Driver,Workout Blueprint,Coach's Notes,Athlete Diary,Decision Trace (Full)
2026-03-16,The Grinder,6,4,185.00,185.01,15.9,24.2,1.00,"Develop: push the block forward",develop,N/A,7,YES,3061,NO,aerobic,none,0,Normal,"Normal","upper_push (7) | Technical Bag Work (6)",low,0,"No major risk drivers detected.","Clean and Press (4x6 @ RPE 8) | Dumbbell Snatch (4x6 @ RPE 8) | Depth Jump (4x6 @ RPE 8) | Trap Bar Jump (4x6 @ RPE 8) | Power Clean (4x6 @ RPE 8) | Hang Clean (4x6 @ RPE 8) | Muscle-up (4x6 @ RPE 8) | Hang Power Snatch (4x6 @ RPE 8)","Steady state progression. Maintaining develop volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-17,The Grinder,4,5,185.01,184.92,27.4,45.9,1.24,"Develop: push the block forward",develop,N/A,7,YES,2723,NO,aerobic,none,0,Normal,"Normal","lower (7) | Pad Work & Drills (7)",low,0,"No major risk drivers detected.","Medicine Ball Slams (4x6 @ RPE 8) | Kettlebell Swing (4x6 @ RPE 8) | Landmine Rotation (4x6 @ RPE 8) | Med Ball Chest Pass (4x6 @ RPE 8) | Overhead Medicine Ball Throw (4x6 @ RPE 8) | Medicine Ball Rotational Throw (4x6 @ RPE 8) | Plyometric Push-ups (4x6 @ RPE 8) | Lateral Bound (4x6 @ RPE 8)","Steady state progression. Maintaining develop volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-18,The Grinder,4,6,184.92,184.95,35.9,65.6,1.46,"Spar Support: push the block forward",spar_support,N/A,7,YES,2946,NO,aerobic,none,0,Normal,"Normal","sport_specific (7)",low,10,"Readiness is below peak.","Neck Bridge (3x1 @ RPE 7) | Battle Ropes — Alternating (3x1 @ RPE 7) | Speed Bag (3x1 @ RPE 7) | Neck Harness (3x1 @ RPE 7) | Footwork Ladder Drills (3x1 @ RPE 7) | Wrist Roller (3x1 @ RPE 7)","Steady state progression. Maintaining spar_support volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-19,The Grinder,5,5,184.95,185.05,47.6,87.3,1.66,"Spar Support: push the block forward",spar_support,N/A,7,YES,3075,NO,aerobic,none,0,Normal,"Normal","recovery (7) | Hard Sparring (9)",low,30,"Acute load is elevated and needs monitoring.","Wrist Circles (2x12 @ RPE 4) | Thoracic Spine Rotation (2x12 @ RPE 4) | Cat-Cow Stretch (2x12 @ RPE 4)","Steady state progression. Maintaining spar_support volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-20,The Grinder,3,4,185.05,185.11,58.3,93.8,1.87,"Spar Support: push the block forward",spar_support,5,6.5,YES,3025,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | Technical Sparring (6)",moderate,40,"Acute load is above the safe training band.","Ankle Circles (2x12 @ RPE 4) | Dead Hang (2x12 @ RPE 4) | Light Bike Spin (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-21,The Grinder,3,5,185.11,185.14,68.8,93.6,1.94,"Recover: push the block forward",recover,5,6.5,YES,3016,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Band Pull-Aparts (2x12 @ RPE 4) | Shoulder Dislocates (2x12 @ RPE 4) | 90/90 Hip Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-22,The Grinder,2,5,185.14,185.19,77.3,92.4,1.94,"Recover: push the block forward",recover,5,6.5,YES,3050,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Dead Bug (2x12 @ RPE 4) | Child's Pose (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-23,The Grinder,2,5,185.19,185.29,85.7,92.4,1.92,"Recover: push the block forward",recover,5,6.5,YES,3370,YES,aerobic,none,0,Normal,"Normal","recovery (6.5) | Technical Bag Work (6)",moderate,40,"Acute load is above the safe training band.","Foam Rolling — Full Body (2x12 @ RPE 4) | World's Greatest Stretch (2x12 @ RPE 4) | Couch Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role. | Note: Large caloric surplus detected today. Engine will monitor weight trend for metabolic correction.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it. | Had a bit of a binge today. Feeling guilty but the food was worth it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-24,The Grinder,1,3,185.29,185.24,93.7,96.2,1.92,"Recover: push the block forward",recover,5,6.5,YES,2648,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | Pad Work & Drills (6.4275907722234775)",moderate,40,"Acute load is above the safe training band.","Band Work — Shoulders (2x12 @ RPE 4) | Pigeon Stretch (2x12 @ RPE 4) | Lacrosse Ball Trigger Points (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-25,The Grinder,2,2,185.24,185.20,95.9,97.5,1.96,"Recover: push the block forward",recover,5,6.5,YES,2691,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Walking (2x12 @ RPE 4) | Yoga Flow (2x12 @ RPE 4) | Ankle Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
