Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Risk Level,Risk Score,Primary Driver,Workout Blueprint,Coach's Notes,Athlete Diary,Decision Trace (Full)
2026-03-16,The Grinder,6,5,185.00,185.00,19.5,30.9,1.00,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,low,0,"No major risk drivers detected.","Power Clean (4x6 @ RPE 8) | Hang Clean (4x6 @ RPE 8) | Clean and Press (4x6 @ RPE 8) | Dumbbell Snatch (4x6 @ RPE 8) | Depth Jump (4x6 @ RPE 8) | Muscle-up (4x6 @ RPE 8) | Hang Power Snatch (4x6 @ RPE 8) | Trap Bar Jump (4x6 @ RPE 8)",,,"objective: Objective anchor | fuel: Fuel timing match"
2026-03-17,The Grinder,4,5,185.00,185.00,39.0,61.8,1.31,"Develop: push the block forward",develop,N/A,8,YES,2500,NO,aerobic,low,10,"Readiness is below peak.","Box Jumps (3x8 @ RPE 7) | Medicine Ball Slams (3x8 @ RPE 7) | Medicine Ball Rotational Throw (3x8 @ RPE 7) | Plyometric Push-ups (3x8 @ RPE 7) | Kettlebell Swing (3x8 @ RPE 7) | Broad Jump (3x8 @ RPE 7)",,,"objective: Objective anchor | fuel: Fuel timing match"
2026-03-18,The Grinder,5,6,185.00,185.00,56.0,91.0,1.62,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,low,30,"Acute load is elevated and needs monitoring.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match"
2026-03-19,The Grinder,3,5,185.00,185.00,75.5,92.5,1.91,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-20,The Grinder,2,6,185.00,185.00,85.0,91.0,1.93,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-21,The Grinder,1,3,185.00,185.00,92.5,95.5,1.91,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-22,The Grinder,2,3,185.00,185.00,92.5,95.5,1.96,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-23,The Grinder,1,3,185.00,185.00,92.5,95.5,1.96,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-24,The Grinder,2,4,185.00,185.00,90.0,94.0,1.96,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-25,The Grinder,1,4,185.00,185.00,90.0,94.0,1.94,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-26,The Grinder,1,2,185.00,185.00,95.0,97.0,1.94,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-27,The Grinder,1,3,185.00,185.00,92.5,95.5,1.97,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-28,The Grinder,2,3,185.00,185.00,92.5,95.5,1.96,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-29,The Grinder,2,4,185.00,185.03,90.0,94.0,1.96,"Recover: push the block forward",recover,N/A,8,YES,2600,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-30,The Grinder,2,3,185.03,185.03,92.5,95.5,1.94,"Recover: push the block forward",recover,N/A,8,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","Hip Circles (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)",,,"objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
