Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Risk Level,Risk Score,Primary Driver,Decision Trace (Full)
2026-03-16,The Binger,7,6,187.75,185.00,3.0,12.6,1.00,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-17,The Binger,7,8,187.75,185.00,1.0,22.2,1.13,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-18,The Binger,7,7,187.75,185.71,1.5,33.3,1.22,"Develop: push the block forward",develop,N/A,6,YES,5000,YES,aerobic,low,0,"No major risk drivers detected.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-19,The Binger,7,6,187.75,185.71,4.5,45.9,1.33,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,low,10,"Readiness is below peak.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-20,The Binger,6,7,187.75,185.71,5.0,57.0,1.46,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,low,10,"Readiness is below peak.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-21,The Binger,7,8,187.75,186.43,3.0,66.6,1.57,"Develop: push the block forward",develop,N/A,6,YES,5000,YES,aerobic,low,30,"Acute load is elevated and needs monitoring.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-22,The Binger,6,6,187.75,186.43,6.0,79.2,1.67,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,low,30,"Acute load is elevated and needs monitoring.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-23,The Binger,7,7,187.75,187.14,6.5,89.5,1.79,"Develop: push the block forward",develop,N/A,6,YES,5000,YES,aerobic,low,30,"Acute load is elevated and needs monitoring.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-24,The Binger,6,7,187.75,187.14,7.0,89.5,1.90,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-25,The Binger,7,7,187.75,187.14,7.5,89.5,1.90,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-26,The Binger,7,7,187.75,187.14,8.0,89.5,1.90,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-27,The Binger,7,7,187.75,187.86,8.5,89.5,1.90,"Develop: push the block forward",develop,N/A,6,YES,5000,YES,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-28,The Binger,7,8,187.75,187.86,6.5,88.0,1.90,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-29,The Binger,7,7,187.75,187.74,7.0,89.5,1.88,"Develop: push the block forward",develop,N/A,6,YES,2100,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-30,The Binger,7,7,187.75,187.74,7.5,89.5,1.90,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-31,The Binger,7,7,187.75,187.74,8.0,89.5,1.90,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-01,The Binger,6,6,187.75,187.74,11.0,91.0,1.90,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-04-02,The Binger,7,8,187.75,187.74,9.0,88.0,1.91,"Develop: push the block forward",develop,N/A,6,YES,2500,NO,aerobic,moderate,40,"Acute load is above the safe training band.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
