Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Cut Phase,Water Target (oz),Sodium Target (mg),Fiber State,Sessions (Full),Risk Level,Risk Score,Primary Driver,Workout Blueprint,Coach's Notes,Athlete Diary,Decision Trace (Full)
2026-03-16,The Grinder,6,4,185.00,185.11,16.1,24.4,1.00,"Develop: push the block forward",develop,N/A,7,YES,3006,NO,aerobic,none,0,Normal,"Normal","upper_push (7) | Technical Bag Work (6)",low,0,"No major risk drivers detected.","Clean and Press (4x6 @ RPE 8) | Dumbbell Snatch (4x6 @ RPE 8) | Depth Jump (4x6 @ RPE 8) | Muscle-up (4x6 @ RPE 8) | Trap Bar Jump (4x6 @ RPE 8) | Power Clean (4x6 @ RPE 8) | Hang Power Snatch (4x6 @ RPE 8) | Hang Clean (4x6 @ RPE 8)","Steady state progression. Maintaining develop volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-17,The Grinder,5,6,185.11,185.11,25.9,44.9,1.24,"Develop: push the block forward",develop,N/A,7,YES,2589,NO,aerobic,none,0,Normal,"Normal","lower (7) | Pad Work & Drills (7)",low,0,"No major risk drivers detected.","Medicine Ball Slams (4x6 @ RPE 8) | Plyometric Push-ups (4x6 @ RPE 8) | Kettlebell Swing (4x6 @ RPE 8) | Landmine Rotation (4x6 @ RPE 8) | Overhead Medicine Ball Throw (4x6 @ RPE 8) | Medicine Ball Rotational Throw (4x6 @ RPE 8) | Med Ball Chest Pass (4x6 @ RPE 8) | Lateral Bound (4x6 @ RPE 8)","Steady state progression. Maintaining develop volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-18,The Grinder,5,4,185.11,185.21,41.1,68.8,1.45,"Spar Support: push the block forward",spar_support,N/A,7,YES,2677,NO,aerobic,none,0,Normal,"Normal","sport_specific (7)",low,10,"Readiness is below peak.","Battle Ropes — Alternating (3x1 @ RPE 7) | Neck Harness (3x1 @ RPE 7) | Sled Pull (3x1 @ RPE 7) | Jump Rope (3x1 @ RPE 7) | Speed Bag (3x1 @ RPE 7) | Wrist Roller (3x1 @ RPE 7)","Steady state progression. Maintaining spar_support volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-19,The Grinder,4,4,185.21,185.35,56.7,92.8,1.69,"Spar Support: push the block forward",spar_support,N/A,7,YES,3050,NO,aerobic,none,0,Normal,"Normal","recovery (7) | Hard Sparring (9)",low,30,"Acute load is elevated and needs monitoring.","Wrist Circles (2x12 @ RPE 4) | Child's Pose (2x12 @ RPE 4) | Thoracic Spine Rotation (2x12 @ RPE 4)","Steady state progression. Maintaining spar_support volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-20,The Grinder,3,5,185.35,185.63,66.2,93.0,1.93,"Spar Support: push the block forward",spar_support,5,6.5,YES,3515,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | Technical Sparring (6)",moderate,40,"Acute load is above the safe training band.","Ankle Circles (2x12 @ RPE 4) | Pigeon Stretch (2x12 @ RPE 4) | Couch Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-21,The Grinder,3,4,185.63,185.67,78.2,94.5,1.93,"Recover: push the block forward",recover,5,6.5,YES,2798,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Cat-Cow Stretch (2x12 @ RPE 4) | Dead Hang (2x12 @ RPE 4) | Light Bike Spin (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-22,The Grinder,1,5,185.67,185.83,85.4,91.7,1.95,"Recover: push the block forward",recover,5,6.5,YES,3014,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Dead Bug (2x12 @ RPE 4) | Shoulder Dislocates (2x12 @ RPE 4) | 90/90 Hip Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-23,The Grinder,1,2,185.83,185.94,94.2,96.5,1.92,"Recover: push the block forward",recover,5,6.5,YES,2768,NO,aerobic,none,0,Normal,"Normal","recovery (6.5) | Technical Bag Work (6)",moderate,40,"Acute load is above the safe training band.","Foam Rolling — Full Body (2x12 @ RPE 4) | Walking (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-24,The Grinder,1,4,185.94,186.13,90.9,94.5,1.97,"Recover: push the block forward",recover,5,6.5,YES,3300,YES,aerobic,none,0,Normal,"Normal","recovery (6.5) | Pad Work & Drills (7)",moderate,40,"Acute load is above the safe training band.","Band Work — Shoulders (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4) | Yoga Flow (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role. | Note: Large caloric surplus detected today. Engine will monitor weight trend for metabolic correction.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it. | Had a bit of a binge today. Feeling guilty but the food was worth it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-25,The Grinder,1,3,186.13,186.22,91.1,94.7,1.95,"Recover: push the block forward",recover,5,6.5,YES,2691,NO,aerobic,none,0,Normal,"Normal","recovery (6.5)",moderate,40,"Acute load is above the safe training band.","Ankle Circles (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4) | World's Greatest Stretch (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
