Date,Persona,Readiness Score,Sleep Score,Weight (Start),Weight (End),Central Fatigue,Muscular Damage,ACWR Ratio,Mission Headline,Session Role,Prescribed RPE,Actual RPE,Compliance,Actual Calories,Is Cheat Day?,Fuel State,Fuel Adjustment,Cut Phase,Water Target (oz),Sodium Target (mg),Fiber State,Intervention State,Mandatory Recovery,Weight Drift (lbs),Cut Intervention Reason,Sessions (Full),Risk Level,Risk Score,Primary Driver,Workout Blueprint,Coach's Notes,Athlete Diary,Decision Trace (Full)
2026-03-15,The Grinder,6,6,185.00,184.93,10.5,21.0,1.00,"Recover: push the block forward",recover,N/A,7,YES,2604,NO,aerobic,none,none,0,Normal,"Normal",none,NO,,"","recovery (7) | Technical Bag Work (6)",low,0,"No major risk drivers detected.","Hip Circles (2x12 @ RPE 4) | Dead Hang (2x12 @ RPE 4) | Walking (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4) | World's Greatest Stretch (2x12 @ RPE 4) | 90/90 Hip Stretch (2x12 @ RPE 4) | Cat-Cow Stretch (2x12 @ RPE 4) | Couch Stretch (2x12 @ RPE 4)","Steady state progression. Maintaining recover volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-16,The Grinder,6,5,184.93,184.97,20.1,41.4,1.21,"Develop: push the block forward",develop,N/A,7,YES,2862,NO,aerobic,none,none,0,Normal,"Normal",none,NO,,"","upper_push (7) | Pad Work & Drills (7)",low,0,"No major risk drivers detected.","Plyometric Push-ups (4x6 @ RPE 8) | Landmine Rotation (4x6 @ RPE 8) | Depth Jump (4x6 @ RPE 8) | Med Ball Chest Pass (4x6 @ RPE 8) | Trap Bar Jump (4x6 @ RPE 8) | Overhead Medicine Ball Throw (4x6 @ RPE 8) | Medicine Ball Slams (4x6 @ RPE 8) | Medicine Ball Rotational Throw (4x6 @ RPE 8)","Steady state progression. Maintaining develop volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-17,The Grinder,5,6,184.97,185.14,29.4,61.8,1.41,"Develop: push the block forward",develop,N/A,7,YES,3660,NO,aerobic,none,none,0,Normal,"Normal",none,NO,,"","lower (7)",low,10,"Readiness is below peak.","Jump Rope (3x1 @ RPE 7) | Footwork Ladder Drills (3x1 @ RPE 7) | Ankle Circles (2x12 @ RPE 4) | Box Jumps (3x8 @ RPE 7) | Kettlebell Swing (3x8 @ RPE 7) | Shuttle Runs (3x1 @ RPE 7)","Steady state progression. Maintaining develop volume to build consistency.","Just another day at the office. Grinding through the plan.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-18,The Grinder,4,4,185.14,185.28,44.0,85.2,1.62,"Spar Support: push the block forward",spar_support,N/A,7,YES,3370,YES,aerobic,none,none,0,Normal,"Normal",none,NO,,"","recovery (7) | Hard Sparring (9)",low,30,"Acute load is elevated and needs monitoring.","Wrist Circles (2x12 @ RPE 4) | Cat-Cow Stretch (2x12 @ RPE 4) | Child's Pose (2x12 @ RPE 4)","Steady state progression. Maintaining spar_support volume to build consistency. | Note: Large caloric surplus detected today. Engine will monitor weight trend for metabolic correction.","Just another day at the office. Grinding through the plan. | Had a bit of a binge today. Feeling guilty but the food was worth it.","objective: Objective anchor | fuel: Fuel timing match"
2026-03-19,The Grinder,4,6,185.28,185.26,54.2,91.4,1.85,"Spar Support: push the block forward",spar_support,N/A,7,YES,2938,NO,aerobic,none,none,0,Normal,"Normal",none,NO,,"","recovery (7) | Technical Sparring (6)",moderate,40,"Acute load is above the safe training band.","Band Work — Shoulders (2x12 @ RPE 4) | Shoulder Dislocates (2x12 @ RPE 4) | Band Pull-Aparts (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to spar_support role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-20,The Grinder,3,6,185.26,185.28,65.6,92.2,1.91,"Recover: push the block forward",recover,N/A,7,YES,3048,NO,aerobic,none,none,0,Normal,"Normal",none,NO,,"","recovery (7)",moderate,40,"Acute load is above the safe training band.","Lacrosse Ball Trigger Points (2x12 @ RPE 4) | World's Greatest Stretch (2x12 @ RPE 4) | Foam Rolling — Full Body (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-21,The Grinder,2,4,185.28,185.33,81.6,94.9,1.92,"Recover: push the block forward",recover,N/A,7,YES,3017,NO,aerobic,none,none,0,Normal,"Normal",none,NO,,"","recovery (7)",moderate,40,"Acute load is above the safe training band.","90/90 Hip Stretch (2x12 @ RPE 4) | Dead Hang (2x12 @ RPE 4) | Dead Bug (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-22,The Grinder,3,3,185.33,185.36,92.2,95.3,1.95,"Recover: push the block forward",recover,N/A,7,YES,3076,NO,aerobic,none,none,0,Normal,"Normal",none,NO,,"","recovery (7) | Technical Bag Work (6)",moderate,40,"Acute load is above the safe training band.","Light Bike Spin (2x12 @ RPE 4) | Hip Circles (2x12 @ RPE 4) | Thoracic Spine Rotation (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-23,The Grinder,1,4,185.36,185.43,88.8,93.3,1.95,"Recover: push the block forward",recover,N/A,7,YES,3060,NO,aerobic,none,none,0,Normal,"Normal",none,NO,,"","recovery (7)",moderate,40,"Acute load is above the safe training band.","Pigeon Stretch (2x12 @ RPE 4) | Light Shadow Boxing (2x12 @ RPE 4) | Walking (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
2026-03-24,The Grinder,1,2,185.43,185.52,94.2,96.5,1.93,"Recover: push the block forward",recover,N/A,7,YES,3050,NO,aerobic,none,none,0,Normal,"Normal",none,NO,,"","recovery (7)",moderate,40,"Acute load is above the safe training band.","Ankle Circles (2x12 @ RPE 4) | Couch Stretch (2x12 @ RPE 4) | Wrist Circles (2x12 @ RPE 4)","Engine detected high risk (moderate): Acute load is above the safe training band.. Pulled back to recover role.","I'm feeling pretty beat up. My acute load is above the safe training band. is catching up to me. Glad the engine saw it.","objective: Objective anchor | fuel: Fuel timing match | risk: Risk control"
